Words,Synonyms,Synonyms1,In Spanish
Prohibit,Forbid, bar,Prohibir
Front,Fore,,Parte delantera
Alien,Foreigner, outsider,Extraterrestre
Paramount,Foremost, eminent,Supremo
Always,Forever,,Siempre
Creation,Formation, foundation,Creación
Past,Former, previous,Pasado
Abjure,Forsake, renounce,Abjurar de
Urchin,Foundling, orphan,Pilluelo
Break,Fracture, burst,Romper
Delicate,Fragile, dainty,Delicado
Flimsy,Frail, fragile,Endeble
Frigid,Freezing, frosty,Frígido
Sociable,Friendly, cordial,Sociable
Afraid,Frightened, scared,Temeroso
Startled,Frightened, shocked,Sorprendido
Hideous,Frightful, shocking,Horrible
Jovial,Frolicsome, cheerful,Jovial
Thrifty,Frugal, prudent,Ahorrativo
Fertile,Fruitful, productive,Fértil
Barbarous,Frustrate, perplex,Bárbaro
Frenzy,Fury, rage,Frenesí
Profit,Gain, earnings,Lucro
Masculine,Gallant, strapping,Masculino
Catholic,Generic, liberal,católico
Courtesy,Generosity, reverence,Cortesía
Intrinsic,Genuine, fundamental,Intrínseco
Generous,Giving, selfless,Generoso
Morose,Gloomy, sullen,Malhumorado
Polite,Gracious, refined,Cortés
Hold,Grasp, grip,Sostener
Serious,Grave, solemn,Grave
Maximum,Greatest, uppermost,Máximo
Mourn,Grieve, lament,Llorar
Adult,Grown up,,Adulto
Innocent,Guiltless, blameless,Inocente
Convenient,Handy, accessible,Conveniente
Glad,Happy, pleased,Contento
Molest,Harass, tease,Molestar
Difficult,Hard, challenging,Difícil
Misfortune,Hardship, catastrophe,Desgracia
Acrimony,Harshness, bitterness,Acritud
Despise,Hate, detest,Despreciar
Grudge,Hatred, aversion,Resentimiento
Pompous,Haughty, arrogant,Pomposo
Arrogant,Haughty, stuck up,Arrogante
Risky,Hazardous, perilous,Arriesgado
Aid,Help, assist,Ayuda
Beneficial,Helpful, useful,Beneficioso
Repulsive,Hideous, offensive,Repulsivo
Tall,High, lofty,Alto
Deter,Hinder, prevent,Desalentar
Encumbrance,Hindrance, obstacle,Gravamen
Raise,Hoist, elevate,Aumentar
Just,Honest, impartial,Sólo
Fair,Honest, just,Justo
Reputable,Honorable, upstanding,Acreditado
Optimistic,Hopeful, confident,Optimista
Immense,Huge, enormous,Inmenso
Modest,Humble, courteous,Modesto
Impediment,Hurdle, obstruction,Impedimento
Damage,Hurt, impair,Daño
Optimist,Idealist,,Optimista
Same,Identical, alike,Mismo
Fake,Imitation, phony,FALSO
Gigantic,Immense, colossal,Gigantesco
Stranger,Immigrant, guest,Extraño
Neutral,Impartial, unprejudiced,Neutral
Unbiased,Impartial, unprejudiced,Imparcial
Obstruct,Impede, prevent,Obstruir
Imminent,Impending, brewing,Inminente
Mandatory,Imperative, requisite,Obligatorio
Rude,Impolite, discourteous,Maleducado
Momentous,Important, powerful,Trascendental
Quack,Impostor, deceiver,Curandero
Captivity,Imprisonment, confinement,Cautiverio
Saucy,Impudent, insolent,Fresco
Flippant,Impudent, sassy,Ligero
Impetuous,Impulsive, rash,Impetuoso
Idle,Inactive, lazy,Inactivo
Insufficient,Inadequate, deficient,Insuficiente
Incongruous,Inappropriate, absurd,Incongruente
Irrelevant,Inappropriate, unrelated,Irrelevante
Terse,Incisive, compact,Breve
Urge,Incite, implore,Impulso
Comprise,Include, contain,Comprender
False,Incorrect, untrue,FALSO
Wrong,Incorrect, untrue,Incorrecto
Add,Increase, total,Agregar
Fantastic,Incredible, outrageous,Fantástico
Arraign,Incriminate, indict,Acusar
Instill,Inculcate, inject,Instilar
Raid,Incursion, foray,Redada
Nonchalant,Indifferent, lackadaisical,Despreocupado
Nonchalant,Indifferent, negligent,Despreocupado
Insolvent,Indigent, destitute,Insolvente
Incompetent,Inefficient, unskilled,Incompetente
Veteran,Ingenious, experienced,Veterano
Internal,Inner, inside,Interno
Crazy,Insane, daft,Loco
Batty,Insane, silly,Chalado
Propagate,Inseminate, fecundate,Propagar
Spontaneous,Instinctive, automatic,Espontáneo
Sporadic,Intermittent, scattered,Esporádico
Decipher,Interpret, reveal,Descifrar
Question,Interrogate, inquire,Pregunta
Sarcastic,Ironical, derisive,Sarcástico
Impious,Irreligious, unholy,Impío
Irrepressible,Irresistible, unconfined,Irreprimible
Harass,Irritate, molest,Acosar
Connect,Join, link,Conectar
Adjunct,Joined, added,Adjunto
Mutual,Joint, identical,Mutuo
Ecstasy,Joy, rapture,Éxtasis
Reluctant,Cautious, averse,Reacio
Wary,Cautious, circumspect,Cauteloso
Deliberate,Cautious, intentional,Deliberar
Conservative,Cautious, restrained,Conservador
Careful,Cautious, watchful,Cuidadoso
Quit,Cease, stop,Renunciar
Condemn,Censure, denounce,Condenar
Remonstrate,Censure, protest,Protestar
Consolidate,Centralize, fortify,Consolidar
Umbrage,Chagrin, offense,Resentimiento
Captivate,Charm, fascinate,Cautivar
Sacred,Cherish, divine,Sagrado
Precious,Cherished, valuable,Precioso
Immature,Childish, inexperienced,Inmaduro
Gallant,Chivalrous, stately,Galante
Fat,Chubby, plump,Gordo
Thick,Chunky, massive,Grueso
Boisterous,Clamorous, rowdy,Bullicioso
Neat,Clean, orderly,Limpio
Ingenious,Clever, creative,Ingenioso
Ascend,Climb, escalate,Ascender
Camouflage,Cloak, disguise,Camuflaje
Comic,Clown, ester,Cómic
Awkward,Clumsy, uncoordinated,Incómodo
Gather,Collect, accumulate,Recolectar
Militant,Combative, aggressive,Militante
Blend,Combine, mix,Mezcla
Cozy,Comfortable, snug,Acogedor
Future,Coming, tomorrow,Futuro
Turmoil,Commotion, disturbance,Confusión
Bustle,Commotion, tumult,Bullicio
Lenient,Compassionate, merciful,Indulgente
Capable,Competent, able,Capaz
Qualified,Competent, suited,Calificado
Cheap,Competitive, inexpensive,Barato
Obliging,Complaisant, willing,Servicial
Utterly,Completely, entirely,Absolutamente
Tame,Compliant, subdued,Domar
Passive,Compliant, submissive,Pasivo
Confuse,Complicate, muddle,Confundir
Knotty,Complicated ,difficult,Nudoso
Complex,Complicated, intricate,Complejo
Adhere,Comply, observe,Adherirse
Conform,Comply, submit,Ajustarse
Condense,Compress, concentrate,Condensar
Imperative,Compulsory, crucial,Imperativo
Friend,Comrade, buddy,Amigo
Cover,Conceal, hide,Cubrir
Notion,Conceit, apprehension,Noción
Vanity,Conceit, pretension,vanidad
Possible,Conceivable, feasible,Posible
Care,Concern, protection,Cuidado
Succinct,Concise, terse,Sucinto
Tangible,Concrete, definite,Tangible
Vouch,Confirm, consent,Atestiguar
Harmony,Conformity, amicability,Armonía
Face,Confront, meet,Rostro
Yoke,Connect, harness,Yugo
Join,Connect, unite,Entrar
Substantial,Considerable, solid,Sustancial
Kind,Considerate, tender,Amable
Fabricate,Construct, produce,Fabricar
Confine,Contain, enclose,Confinar
Defile,Contaminate, pollute,Desfiladero
Refute,Contradict, dispute,Refutar
Regulate,Control, oversee,Regular
Persuade,Convince, influence,Persuadir
Temperate,Cool, moderate,Templado
Chilly,Cool, nippy,Frío
Accurate,Correct, right,Preciso
Vicious,Corrupt, obnoxious,Vicioso
Admonish,Counsel, reprove,Amonestar
Brave,Courageous, bold,Bravo
Valiant,Courageous, brave,Valiente
Steep,Course, lofty,Empinado
Gracious,Courteous, beneficent,Cortés
Clandestine,Covert, fruitive,Clandestino
Insane,Crazy, deranged,Loco
Hamstrung,Cripple ,debilitate,Isquiotibiales
Cranky,Cross, irritable,De maniático
Urgent,Crucial, important,Urgente
Oracular,Cryptic, vague,Profético
Shrewd,Cunning, craftly,Perspicaz
Guile,Cunning, deceit,Engaño
Diminish,Curtail, lessen,Disminuir
Conventional,Customary, traditional,Convencional
Prevalent,Customary, widespread,Predominante
Infernal,Damned, accursed,Infernal
Precarious,Dangerous, uncertain,Precario
Gloomy,Dark, dismal,Sombrío
Dawn,Daybreak, sunrise,Amanecer
Fatal,Deadly, mortal,Fatal
Knell,Death knell, last blow,Toque de difuntos
Dispute,Debate, oppose,Disputa
Subterfuge,Deceit, stratagem,Subterfugio
Deceit,Deception, artifice,Engaño
Hypocrisy,Deception, pharisaic,Hipocresía
Wane,Decline, dwindle,Menguar
Ornamental,Decorative, adorned,Ornamental
Calumny,Defamation, aspersion,Calumnia
Slander,Defame, malign,Calumnia
Flaw,Defect, fault,Falla
Justify,Defend, exculpate,Justificar
Fluctuate,Deflect, vacillate,Fluctuar
Tender,Delicate, gentle,Tierno
Zest,Delight, enthusiasm,Ánimo
Ecstasy,Delight, exultation,Éxtasis
Charming,Delightful, appealing,Encantador
Exquisite,Delightful, charming,Exquisito
Lunacy,Delusion, insanity,Locura
Fallacy,Delusion, mistake,Falacia
Subvert,Demolish, sabotage,Subvertir
Contradict,Deny, oppose,Contradecir
Despair,Depression, misery,Desesperación
Offspring,Descendant, sibling,Descendencia
Forsake,Desert, renounce,Abandonar
Barren,Desolate, sterile,Estéril
Abject,Despicable, servile,Abyecto
Deprive,Despoil, divest,Privar
Indigent,Destitute, impoverished,Indigente
Poor,Destitute, needy,Pobre
Raze,Destroy, demolish,Arrasar
Eradicate,Destroy, exterminate,Erradicar
Efface,Destroy, obliterate,Borrar
Restrain,Detain, confine,Contener
Disdain,Detest, despise,Desdén
Ravage,Devastate, ruin,Estrago
Transparent,Diaphanous,,Transparente
Disagree,Differ, dispute,Discrepar
Diverse,Different, distinct,Diverso
Timid,Diffident, coward,Tímido
Glory,Dignity, renown,Gloria
Impair,Diminish, deteriorate,Perjudicar
Eclipse,Diminution, dimming,Eclipse
Dwarf,Diminutive, petite,Enano
Squalid,Dirty, filthy,Miserable
Abash,Disconcert, rattle,Avergonzar
Grisly,Disgusting, atrocious,Espeluznante
Treacherous,Dishonest, duplicitous,Traicionero
Knave,Dishonest, scoundrel,Bribón
Dark,Dismal, black,Oscuro
Offend,Displease, affront,Ofender
Resentment,Displeasure, wrath,Resentimiento
Inclination,Disposition, affection,Inclinación
Contrary,Dissimilar, conflicting,Contrario
Different,Distinct, unlike,Diferente
Prominent,Distinguished, eminent,Prominente
Separate,Divide, segregate,Separar
Give,Donate, present,Dar
Precarious,Doubtful, insecure,Precario
Dubious,Doubtful, questionable,Dudoso
Empty,Drain, unload,Vacío
Awful,Dreadful, atrocious,Horrible
Atrocious,Dreadful, contemptible,Atroz
Impartial,Just, unbiased,Imparcial
Eager,Keen, acquisitive,Entusiasta
Compassion,Kindness, sympathy,Compasión
Wise,Knowing, scholarly,Sabio
Yearn,Languish, crave,Añorar
Occult,Latent, ambiguous,Oculto
Lenient,Lax, unrestrained,Indulgente
Depart,Leave, exit,Salir
Long,Lengthy,,Largo
Reduce,Lessen, decrease,Reducir
Minor,Lesser, inferior,Menor
Inferior,Lesser, substandard,Inferior
Listless,Lethargic, tired,Apático
Stupor,Lethargy, unconsciousness,Estupor
Munificent,Liberal, hospitable,Munificente
Dead,Lifeless, deceased,Muerto
Enjoy,Like, appreciate,Disfrutar
Probable,Likely, apt,Probable
Fluid,Liquid,,Líquido
Sluggish,Listless, lethargic,Lento
Small,Little, insignificant,Pequeña
Fill,Load, pack,Llenar
Hate,Loathe, detest,Odio
Rational,Logical, level headed,Racional
Dally,Loiter, linger,Perder el tiempo
Linger,Loiter, prolong,Persistir
Pretty,Lovely, beautiful,Bonita
Radiant,Luminous, shining,Radiante
Liberal,Magnanimous, generous,Liberal
Sublime,Magnificent, eminent,Sublime
Superb,Magnificent, exquisite,Magnífico
Odious,Malevolent, obnoxious,Odioso
Vilify,Malign, slur,Vilipendiar
Synthetic,Man made, artificial,Sintético
Imperfect,Marred, defective,Imperfecto
Wed,Marry, combine,casarse
Fabulous,Marvelous, amazing,Fabuloso
Miraculous,Marvelous, extraordinary,Milagroso
Wonderful,Marvelous, incredible,Maravilloso
Peerless,Matchless, unrivalled,Sin par
Cruel,Mean, heartless,Cruel
Thaw,Melt, defrost,Deshielo
Ominous,Menacing, foreboding,Ominoso
Fix,Mend, repair,Arreglar
Mirth,Merriment, fun,Alegría
Jolly,Merry, jovial,Alegre
Scrupulous,Meticulous, ethical,Escrupuloso
Painstaking,Meticulous, precise,Esmerado
Obey,Mind, heed,Cumplir
Niggardly,Miser, covetous,Tacaño
Shabby,Miserable, impoverished,En mal estado
Adversity,Misfortune, calamity,Adversidad
Doubt,Mistrust, dispute,Duda
Sneer,Mock, scorn,Burla
Deride,Mock, taunt,Ridiculizar
Abate,Moderate, decrease,Disminuir
Humble,Modest, unpretentious,Humilde
Virtuous,Moral, righteous,Virtuoso
Lament,Mourn, grieve,Lamento
Mobile,Moveable, changeable,Móvil
Fanatical,Narrow minded, biased,Fanático
Morbid,Nasty, macabre,Mórbido
Mischievous,Naughty, impish,Dañoso
Good,Nice, fine,Bien
Spry,Nimble, brisk,Ágil
Racket,Noise, commotion,Raqueta
Heretic,Non conformist, secularist,Hereje
Ridiculous,Nonsensical, foolish,Ridículo
Callous,Obdurate, unfeeling,Calloso
Zig zag,Oblique, wayward,Zig zag
Opaque,Obscure, murky,Opaco
Apparent,Obvious, evident,Aparente
Outrage,Offence, maltreatment,Indignacion
Obnoxious,Offensive, abominable,Desagradable
Vulgar,Offensive, uncouth,Vulgar
Enemy,Opponent, foe,Enemigo
Conflict,Oppose, differ,Conflicto
Resist,Oppose, withstand,Resistir
Ordain,Order, impose,Ordenar
Average,Ordinary, fair,Promedio
Normal,Ordinary, typical,Normal
Exterior,Outside, outer,Exterior
Great,Outstanding, remarkable,Estupendo
Congested,Overcrowded, stuffed,Congestionado
Above,Overhead,,Sobre
Jubilant,Overjoyed, delighted,Jubiloso
Exhilarated,Overjoyed, ecstatic,Regocijado
Progress,Pace, betterment,Progreso
Allay,Pacify, soothe,Aliviar
Full,Packed, stuffed,Completo
Luscious,Palatable, delicious,Delicioso
Wan,Pale, faded,Pálido
Sycophant,Parasite, flatterer,Sicofante
Forgive,Pardon, excuse,Perdonar
Absolve,Pardon, forgive,Absolver
Fraction,Part, portion,Fracción
Portion,Part, segment,Parte
Superficial,Partial, shallow,Superficial
Tranquil,Peaceful, composed,Tranquilo
Serene,Peaceful, tranquil,Sereno
Eccentric,Peculiar, unusual,Excéntrico
Odd,Peculiar, weird,Impar
Hazard,Peril, danger,Peligro
Continue,Persist, persevere,Continuar
Relentless,Persistent, merciless,Implacable.despiadado
Relevant,Pertinent, suitable,Pertinente
Upset,Perturb, ruffle,Disgustado
Peevish,Perverse, sullen,Malhumorado
Perverse,Petulant, obstinate,Perverso
Premeditated,Planned, intended,Premeditado
Cement,Plaster, mortar,Cemento
Nice,Pleasing, desirable,Bonito
Docile,Pliable, pliant,Dócil
Predicament,Plight, dilemma,Predicamento
Chubby,Plump, pudgy,Regordete
Venom,Poison, malevolence,Veneno
Courteous,Polite, civil,Cortés
Contaminate,Pollute, defile,Contaminar
Destitute,Poor, penniless,Indigente
Certain,Positive, sure,Cierto
Feasible,Possible, attainable,Factible
Adjourn,Postpone, recess,Aplazar
Strong,Powerful, mighty,Fuerte
Epitome,Precise, example,Epítome
Bind,Predicament,,Unir
Early,Premature, beforetime,Temprano
Outrageous,Preposterous, shocking,Indignante
Immunity,Prerogative, privilege,Inmunidad
Save,Preserve, conserve,Ahorrar
Beautiful,Pretty, attractive,Hermosa
Former,Previous, earlier,Anterior
Before,Prior, earlier,Antes
Luxuriant,Profuse, abundant,Exuberante
Numerous,Profuse, various,Numeroso
Taboo,Prohibit, ban,Tabú
Forbid,Prohibit, ban,Prohibir
Ban,Prohibit, forbid,Prohibición
Conspicuous,Prominent, obvious,Conspicuo
Encourage,Promote, support,Animar
Nimble,Prompt, brisk,Ágil
Successful,Propitious, felicitous,Exitoso
Thrive,Prosper, flourish,Prosperar
Defend,Protect, shield,Defender
Interesting,Provocative, engrossing,Interesante
Antagonize,Provoke, embitter,Enemistarse
Chastise,Punish, admonish,Castigar
Buy,Purchase,,Comprar
Quaint,Queer, strange,Pintoresco
Ask,Question, inquire,Preguntar
Rapidity,Quickness, velocity,Rapidez
Calm,Quiet, tranquil,Calma
Stop,Quit, cease,Detener
Fast,Rapid, quick,Rápido
Gorgeous,Ravishing, dazzling,Precioso
Terrible,Dreadful, horrible,Terrible
Migrant,Drifting, traveling,Inmigrante
Jejune,Dull, boring,Árido
Blunt,Dull, insensitive,Desafilado
Drab,Dull, lifeless,Monótono
Murky,Dusky, dreary,Turbio
Impatient,Eager, anxious,Impaciente
Zeal,Eagerness, fervor,Celo
Premature,Early, hasty,Prematuro
Wholehearted,Earnest, sincere,De todo corazón
Carnal,Earthly, fleshly,Carnal
Frugality,Economy, providence,Frugalidad
Consequence,Effect, outcome,Consecuencia
Conceit,Egotism, immodesty,Presunción
Fancy,Elaborate, ornate,Lujoso
High,Elevated, lofty,Alto
Vivid,Eloquent, lucid,Vívido
Mysterious,Elusive, occult,Misterioso
Humiliate,Embarrass, disgrace,Humillar
Interesting,Enchanting, riveting,Interesante
Permanent,Enduring, lasting,Permanente
Foe,Enemy, adversary,Enemigo
Opponent,Enemy, rival,Adversario
Active,Energetic, animated,Activo
Colossal,Enormous, immense,Colosal
Infuriate,Enrage, agitate,Enfurecer
Allure,Entice, fascinate,Seducir
Solicit,Entreat, implore,Solicitar
Indifferent,Equitable, haughty,Indiferente
Quibble,Equivocate, prevaricate,Sutileza
Bawdy,Erotic, coarse,Obsceno
Outbreak,Eruption, insurrection,Brote
Venerable,Esteemed, honored,Venerable
Perpetual,Eternal, endless,Perpetuo
Virtue,Ethic, morality,Virtud
Moral,Ethical, virtuous,Moral
Obvious,Evident, apparent,Obvio
Explicit,Exact, distinct,Explícito
Observe,Examine, study,Observar
Special,Exceptional, notable,Especial
Surplus,Excess, additional,Superávit
Wield,Exert, employ,Empuñar
Magnify,Expand, enlarge,Aumentar
Enlarge,Expand, magnify,Agrandar
Die,Expire, perish,Morir
Clarify,Explain, simplify,Aclarar
Eloquence,Expression, fluency,Elocuencia
Immaculate,Exquisite, impeccable,Inmaculado
Obsolete,Extinct, dated,Obsoleto
Outstanding,Extraordinary, distinguished,Sobresaliente
Luxurious,Extravagant, elegant,Lujoso
Extravagant,Extreme, excessive,Extravagante
Mediocre,Fair, moderate,Mediocre
Spurious,Fake, counterfeit,Espurio
Fiction,Fantasy, untruth,Ficción
Intriguing,Fascinating, enthralling,Intrigante
Swift,Fast, speedy,Rápido
Benign,Favorable, friendly,Benigno
Least,Fewest, minimum,Menos
Ferocious,Fierce, savage,Feroz
Conflict,Fight, battle,Conflicto
Last,Final, end,Ultimo
Best,Finest, choice,Mejor
Hard,Firm, solid,Duro
Adamant,Firm, unyielding,Firme
Stationary,Fixed, immobile,Estacionario
Impulsive,Flaky, impetuous,Impulsivo
Pamper,Flatter, indulge,Mimar
Perfect,Flawless, accurate,Perfecto
Pertness,Flippancy, impudence,Impertinencia
Baroque,Florid, gilt,Barroco
Abound,Flourish, proliferate,Abundar
Perturbed,Flustered, anxious,Perturbado
Considerate,Thoughtful, sympathetic,Considerado
Ominous,Threatening, menacing,Ominoso
Prosperous,Thriving, successful,Próspero
Prevent,Thwart, prohibit,Evitar
Fatigue,Tire, exhaust,Fatiga
Jaded,Tired, exhausted,Hastiado
Weary,Tired, fatigued,Cansado
Patience,Tolerance, perseverance,Paciencia
Placid,Tranquil, calm,Plácido
Wile,Trickery, artifice,Ardid
Trivial,Trifling, insignificant,Trivial
Win,Triumph, succeed,Victoria
Victory,Triumph, win,Victoria
Frivolous,Trivial, unimportant,Frívolo
Believe,Trust, accept,Creer
Reliable,Trustworthy, steadfast,De confianza
Honest,Truthful, sincere,Honesto
Turbulent,Tumultuous, blustering,Turbulento
Novice,Tyro, beginner,Principiante
Inevitable,Unavoidable, ascertained,Inevitable
Equivocal,Uncertain, hazy,Equívoco
Wild,Uncivilized, savage,Salvaje
Vague,Unclear, obscure,Vago
Invincible,Unconquerable, impregnable,Invencible
Oblivious,Unconscious, preoccupied,Inadvertido
Impenitent,Uncontrived, obdurate,Impenitente
Below,Under, lower,Debajo
Comprehend,Understand, grasp,Comprender
Endeavor,Undertake, aspire,Esfuerzo
Hapless,Unfortunate, ill fated,Desventurado
Sad,Unhappy, dejected,Triste
Ignorant,Uninformed, unaware,Ignorante
Stupid,Unintelligent, dense,Estúpido
Mean,Unkind, malicious,Significar
Vacant,Unoccupied, empty,Vacante
Dangerous,Unsafe, hazardous,Peligroso
New,Unused, fresh,Nuevo
Fresh,Unused, new,Fresco
Preserve,Uphold, guard,Preservar
Worn,Used, impaired,Desgastado
Handy,Useful, convenient,Práctico
Ordinary,Usual, average,Ordinario
Abortive,Vain, unproductive,Abortivo
Rout,Vanquish, overthrow,Derrota
Enormous,Vast, immense,Enorme
Huge,Vast, immense,Enorme
Malice,Vengefulness, grudge,Malicia
Tremble,Vibrate,,Temblar
Wicked,Vicious, immoral,Malvado
Prudence,Vigilance, discretion,Prudencia
Strenuous,Vigorous, laborious,Agotador
Infringe,Violate, encroach,Infringir
Frantic,Violent, agitated,Frenético
Tumultuous,Violent, riotous,Tumultuoso
Chaste,Virtuous, pure,Casto
Broad,Wide, expansive,Amplio
Savage,Wild, untamed,salvaje
Wilt,Wither, perish,Marchitar
Concede,Yield, permit,Conceder
Arrive,Reach, come,Llegar
Legible,Readable, clear,Legible
Concrete,Real, tangible,Hormigón
Censure,Rebuke, reprimand,Censura
Mutinous,Recalcitrant, insurgent,Rebelde
Retract,Recant, withdraw,Retraer
Redeem,Recover, liberate,Redimir
Convalesce,Recuperate, recover,Convalecer
Remorse,Regret, penitence,Remordimiento
Kindred,Relation, species,Parientes
Waive,Relinquish, remove,Renunciar
Exceptional,Remarkable, outstanding,Excepcional
Dissuade,Remonstrate, counsel,Disuadir
Ruthless,Remorseless, inhumane,Implacable
Mend,Repair, fix,Arreglar
Taciturn,Reserved, silent,Taciturno
Remnant,Residue, piece,Retazo o restos
Humility,Resignation, fawning,Humildad
Defy,Resist, challenge,Desafiar
Immune,Resistant, exempt,Inmune
Reverence,Respect, esteem,Reverencia
Rebellious,Restless, attacking,Rebelde
Suppress,Restrain, inhibit,Reprimir
Hamper,Retard, prevent,Cesto
Wealth,Riches, prosperity,Poder
Decay,Rot, spoil,Decaer
Stimulate,Rouse, stir,Estimular
Regular,Routine, customary,Regular
Nervous,Ruffled, flustered,Nervioso
Demolish,Ruin, devastate,Demoler
Destroy,Ruin, wreck,Destruir
Rustic,Rural, uncivilized,Rústico
Derogatory,Sarcastic, critical,Despectivo
Contented,Satisfied, pleased,Contento
Keep,Save, protect,Mantenerse
Scarce,Scanty, rare,Escaso
Meager,Scanty, sparse,Pobre
Scanty,Scarce, insufficient,Escaso
Intrigue,Scheme, conspiracy,Intriga
System,Scheme, entity,Sistema
Contempt,Scorn, disregard,Desprecio
Gaunt,Scrawny, skinny,Demacrado
Conscientious,Scrupulous, virtuous,Concienzudo
Quarantine,Seclude, screen,Cuarentena
Remote,Secluded, isolated,Remoto
Independent,Self reliant, autonomous,Independiente
Logical,Sensible, sane,Lógico
Divide,Separate, split,Dividir
Detach,Separate, unfasten,Despegar
Numerous,Several, abundant,Numeroso
Drastic,Severe, extreme,Drástico
Vibrate,Shake, quiver,Vibrar
Keen,Sharp, poignant,Entusiasta
Brief,Short, concise,Breve
Abbreviate,Shorten, condense,Abreviar
Yell,Shout, shriek,Gritar
Push,Shove, propel,Empujar
Reveal,Show, disclose,Revelar
Gaudy,Showy, garish,Llamativo
